﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
Veri Güvenliği,Veri hırsızlığına zemin hazırlayan kullanıcı hatalarından biri nedir?,Kaynağı bilinmeyen veya güvenli olmayan internet sitelerine bağlanarak kişisel bilgilerin girilmesi ve sosyal mühendislik tuzaklarına düşülmesidir.,"Zayıf veya tekrar kullanılan parolalar, veri hırsızlığına zemin hazırlayan yaygın kullanıcı hatalarından biridir."
Veri Güvenliği,Kablosuz iletişim ağlarında veri güvenliği neden risk altındadır?,"Yeterli güvenlik önlemi alınmazsa, iletişim ağından şifresiz olarak geçen veriler saldırganlar tarafından ele geçirilebilir.","Kablosuz iletişim ağlarında veri güvenliği, radyo dalgalarının fiziksel sınırları aşabilmesi nedeniyle dinleme, kimlik sahtekarlığı ve yetkisiz erişim gibi tehditlere açık olduğundan risk altındadır. Ayrıca, zayıf şifreleme protokolleri ve yanlış yapılandırmalar da bu riskleri artırır."
Sistem Güvenliği,Sistemlerin hizmet dışı bırakılması (DoS) saldırılarında hangi yöntemler kullanılır?,"Yazılımlara yerleştirilen arka kapılar, tuzak donanımlar, güvenlik zafiyetleri ve zombi bilgisayarlar üzerinden yapılan DDoS saldırıları kullanılır.","Sistemlerin hizmet dışı bırakılması (DoS) saldırılarında genellikle ""Flooding"" ve ""Resource Exhaustion"" yöntemleri kullanılır. Flooding, hedef sistemi aşırı trafikle boğarak erişilemez hale getirirken, Resource Exhaustion, sistem kaynaklarını tüketerek hizmetlerin durmasına neden olur."
Zararlı Yazılımlar,Zararlı yazılımların bilgisayarlara bulaşma yöntemleri nelerdir?,"Zararlı sitelere erişim, oltalama saldırıları, kontrol edilmemiş harici bellekler (USB/DVD) ve lisanssız (crack) yazılım kullanımıyla bulaşabilir.","Zararlı yazılımlar genellikle e-posta ekleri, kötü amaçlı web siteleri, güvenlik açıkları bulunan yazılımlar, USB bellekler ve sosyal mühendislik saldırıları yoluyla bilgisayarlara bulaşır. Ayrıca, sahte yazılım güncellemeleri ve P2P ağları üzerinden de yayılabilirler."
Zararlı Yazılımlar,Ücretsiz yazılımların güvenlik riski nedir?,"Amacı dışında içine zararlı kod yerleştirilmiş olabilen bu yazılımlar, bilgisayara virüs veya casus yazılım bulaştırabilir.","Ücretsiz yazılımlar, genellikle kaynak kodlarının açık olmaması, düzenli güvenlik güncellemeleri almamaları ve kötü niyetli yazılım içerebilmeleri nedeniyle güvenlik riskleri taşır. Ayrıca, bu tür yazılımlar kullanıcı verilerini izinsiz toplayabilir veya üçüncü taraflara satabilir."
Siber Tehditler,Siber zorbalık nedir?,"İnternet ortamında yapılan hakaret, kötü söz, küfür veya tehdit içeren paylaşımlarla kişilerin, özellikle çocukların duygusal gelişimine zarar verilmesidir.","Siber zorbalık, dijital platformlar üzerinden bir bireye yönelik kasıtlı, tekrarlayan ve düşmanca davranışlar sergileyerek zarar verme eylemidir. Bu, sosyal medya, mesajlaşma uygulamaları veya çevrimiçi forumlar gibi çeşitli çevrimiçi ortamlar aracılığıyla gerçekleşebilir."
Sosyal Medya,Sosyal medya nedir?,Bireyler ve kurumlar arasında etkileşimli iletişim sağlayan ve kullanıcıların içerik ürettiği web tabanlı uygulamaların genel adıdır.,"Sosyal medya, kullanıcıların içerik oluşturmasına, paylaşmasına ve etkileşimde bulunmasına olanak tanıyan çevrimiçi platformlar ve uygulamalar bütünüdür. Bu platformlar, bireyler ve topluluklar arasında bilgi, fikir ve multimedya alışverişini kolaylaştırır."
Sosyal Medya,Sosyal medyanın istismarına yol açan kullanıcı davranışları nelerdir?,"Tanımadığınız kişilerle arkadaşlık kurmak, mahrem bilgi/fotoğraf paylaşmak ve açık konum bilgisi vermek istismara yol açabilir.","Sosyal medyanın istismarına yol açan kullanıcı davranışları arasında zayıf parola kullanımı, kişisel bilgilerin aşırı paylaşımı ve bilinçsizce bağlantılara tıklama yer alır. Ayrıca, sosyal mühendislik saldırılarına karşı dikkatli olmamak ve gizlilik ayarlarını ihmal etmek de bu tür istismarlara zemin hazırlar."
Sosyal Medya,Sosyal medyada konum paylaşmanın fiziksel güvenlik riski nedir?,"Açık konum belirtmek, hırsızlar veya kötü niyetli kişiler için kişinin nerede olduğu bilgisini sağladığından tehlikelidir.","Sosyal medyada konum paylaşmak, potansiyel saldırganlara veya hırsızlara fiziksel konumunuzu ve evde olmadığınız zamanları bildirerek hedef olma riskini artırır. Bu durum, özellikle evde olmadığınızda hırsızlık gibi suçlara karşı savunmasız hale gelmenize neden olabilir."
Sosyal Medya,Sosyal medyada güvenli iletişim için nelere dikkat edilmelidir?,"Tanımadığınız kişilerle bağlantı kurulmamalı, kişisel bilgiler gizli tutulmalı ve gizlilik ayarları yapılarak profil sadece tanıdıklara açılmalıdır.","Güçlü ve benzersiz parolalar kullanarak hesap güvenliğini sağlamak ve iki faktörlü kimlik doğrulama (2FA) özelliğini etkinleştirmek önemlidir. Ayrıca, paylaşılan kişisel bilgilerin miktarını sınırlamak ve gizlilik ayarlarını düzenli olarak gözden geçirmek gereklidir."
Sosyal Medya,Sosyal medya hesapları için güvenli parola kriterleri nelerdir?,"En az 8 karakterden oluşmalı; büyük harf, küçük harf, rakam ve özel karakter içermeli; kişisel bilgiler (doğum tarihi vb.) barındırmamalıdır.","Güvenli bir parola en az 12 karakter uzunluğunda olmalı, büyük ve küçük harfler, sayılar ve özel karakterler içermelidir. Ayrıca, tahmin edilmesi zor olmalı ve farklı hesaplar için benzersiz parolalar kullanılmalıdır."
Sosyal Medya,Sosyal medyada 'İki Faktörlü Kimlik Doğrulama (2FA)' neden önemlidir?,Parola çalınsa bile hesaba erişimi engellemek için ikinci bir güvenlik katmanı sağlayarak hesap güvenliğini artırır.,"İki Faktörlü Kimlik Doğrulama (2FA), kullanıcı hesaplarına ek bir güvenlik katmanı ekleyerek, yalnızca şifreyle erişim sağlanmasını engeller ve hesap ele geçirme riskini azaltır. Bu yöntem, kullanıcıdan ikinci bir doğrulama faktörü (örneğin, SMS ile gönderilen kod veya bir kimlik doğrulama uygulaması) talep ederek yetkisiz erişim girişimlerini zorlaştırır."
Sosyal Medya,Sosyal medyada yaş kısıtlaması nasıldır?,"13 yaş altı çocuklar sosyal medya kullanmamalı, 13-18 yaş arası çocuklar ise ebeveyn gözetiminde kullanmalıdır.","Sosyal medya platformları genellikle 13 yaş ve üzeri kullanıcılar için uygundur, bu kısıtlama Çocukların Çevrimiçi Gizliliğini Koruma Yasası (COPPA) gibi yasal düzenlemelere uyum sağlamak amacıyla uygulanır. Ancak, bazı platformlar daha yüksek yaş sınırları belirleyebilir veya ek doğrulama süreçleri isteyebilir."
İnternet Tarayıcıları,Web tarayıcılarında 'Gizli Mod' ne işe yarar?,Başkalarının çevrimiçi etkinlikleriniz hakkında tarayıcı geçmişi üzerinden bilgi toplamasını engellemeye yardımcı olur.,"Web tarayıcılarında 'Gizli Mod', tarayıcı geçmişi, çerezler ve form verileri gibi bilgilerin oturum sonunda kaydedilmemesini sağlar. Ancak, internet servis sağlayıcıları veya ziyaret edilen web siteleri gibi üçüncü taraflar tarafından yapılan izlemeyi engellemez."
Tarayıcı Eklentileri,Tarayıcı eklentisi (plugin) nedir?,"Web tarayıcılarına ekstra özellikler ve işlevler kazandıran, genellikle API'ler kullanılarak oluşturulan küçük programlardır.","Tarayıcı eklentisi, web tarayıcılarının işlevselliğini artırmak veya özelleştirmek için yüklenen küçük yazılım bileşenleridir. Bu eklentiler, kullanıcı deneyimini geliştirmek için reklam engelleme, parola yönetimi veya video indirme gibi çeşitli özellikler sunabilir."
Tarayıcı Eklentileri,Tarayıcı eklentilerinin güvenlik riskleri nelerdir?,Kullanıcının tüm verilerini okuma ve değiştirme izni isteyebilirler ve otomatik güncellemelerle sonradan kötü amaçlı hale gelebilirler.,"Tarayıcı eklentileri, kötü amaçlı yazılım barındırma, kullanıcı verilerini izinsiz toplama ve tarayıcı güvenlik açıklarını istismar etme gibi riskler taşıyabilir. Ayrıca, eklentilerin güncellenmemesi veya güvenilir olmayan kaynaklardan yüklenmesi, sistemin güvenliğini tehlikeye atabilir."
Tarayıcı Eklentileri,Web of Trust eklentisi neden mağazalardan kaldırılmıştı?,"Kullanıcıların tarama geçmişini kaydedip, bu verileri anonim hale getirmeden üçüncü taraflara sattığı iddia edildiği için kaldırılmıştır.","Web of Trust eklentisi, kullanıcı verilerini izinsiz topladığı ve bu verileri anonimleştirmeden üçüncü taraflara sattığı ortaya çıktığı için mağazalardan kaldırılmıştı. Bu durum, kullanıcı gizliliği ve veri güvenliği ihlallerine yol açtığı için ciddi eleştirilere neden olmuştu."
Tarayıcı Eklentileri,Güvenli eklenti kullanımı için ne yapılmalıdır?,Sadece ihtiyaç duyulan eklentiler resmi sitelerden indirilmeli ve istenen izinler dikkatlice kontrol edilmelidir.,"Eklentilerin güvenli kullanımı için yalnızca resmi kaynaklardan veya güvenilir geliştiricilerden indirilmeli ve düzenli olarak güncellemeleri kontrol edilmelidir. Ayrıca, kullanılmayan eklentiler devre dışı bırakılmalı veya kaldırılmalıdır."
Çerez Yönetimi,Çerez (Cookie) nedir?,"Kullanıcının ziyaret ettiği web sayfaları tarafından bilgisayarda saklanan, dil ayarları ve tercihler gibi bilgileri barındıran dosyalardır.","Çerez, web siteleri tarafından kullanıcının tarayıcısına depolanan küçük veri dosyalarıdır ve kullanıcı tercihlerini, oturum bilgilerini veya izleme verilerini saklamak için kullanılır. Tarayıcı, bu bilgileri daha sonra aynı web sitesine yapılan ziyaretlerde geri gönderir, böylece kullanıcı deneyimi kişiselleştirilebilir veya oturum sürekliliği sağlanabilir."
Parola Yönetimi,Parolalar nerede saklanmamalıdır?,Güvenliği ihlal edilebilecek elektronik ortamlarda veya bulut sistemlerinde açık bir şekilde saklanmamalıdır.,"Parolalar düz metin olarak veritabanlarında veya herhangi bir dosya sisteminde saklanmamalıdır. Bunun yerine, güvenli bir şekilde hashlenmiş ve mümkünse salt kullanılarak saklanmalıdır."
İnternet Güvenliği,Klasik antivirüs yazılımları neden tek başına yeterli değildir?,"İmza tabanlı çalıştıkları için, henüz imzası veritabanına eklenmemiş yeni ve farklı özelliklerdeki virüsleri yakalamakta yetersiz kalabilirler.","Klasik antivirüs yazılımları, genellikle bilinen tehditlerin imza tabanlı tespitiyle sınırlıdır ve bu nedenle sıfır gün saldırıları veya polimorfik zararlı yazılımlar gibi yeni ve karmaşık tehditleri tespit etmede yetersiz kalabilir. Ayrıca, modern tehditler genellikle sosyal mühendislik veya çok aşamalı saldırılar gibi yöntemlerle çalıştığından, kapsamlı bir güvenlik stratejisi için ek güvenlik katmanları gereklidir."
İnternet Güvenliği,Güvenli bir işletim sistemi için ne yapılmalıdır?,İşletim sistemi sürekli güncel tutulmalı ve üretici desteği bitmiş eski sistemler kullanılmamalıdır.,"Güvenli bir işletim sistemi için düzenli güncellemeler yapılmalı ve en son yamalar uygulanmalıdır. Ayrıca, güçlü kimlik doğrulama yöntemleri ve güvenlik duvarı gibi ek güvenlik önlemleri kullanılmalıdır."
İnternet Güvenliği,BitLocker programı ne amaçla kullanılır?,Bilgisayardaki sabit diski veya diskin bir kısmını şifreleyerek verilerin okunmasını zorlaştırmak ve güvenliğini sağlamak için kullanılır.,"BitLocker, Microsoft tarafından geliştirilen bir disk şifreleme programıdır ve sabit disklerdeki verileri yetkisiz erişime karşı korumak amacıyla kullanılır. Bu program, sürücüdeki verileri şifreleyerek fiziksel hırsızlık veya kayıp durumlarında veri güvenliğini sağlar."
İnternet Güvenliği,Kablosuz modem güvenliği için ne yapılmalıdır?,Modemin işletim sistemi güncellenmeli ve varsayılan (fabrika çıkışı) parolalar mutlaka değiştirilmelidir.,"Kablosuz modem güvenliği için WPA3 şifreleme protokolü kullanılmalı ve varsayılan yönetici şifresi güçlü bir parola ile değiştirilmelidir. Ayrıca, SSID yayını devre dışı bırakılmalı ve MAC adresi filtreleme etkinleştirilmelidir."
Uygulama Güvenliği,OWASP nedir?,Web tabanlı uygulamaların güvenliği için çalışmalar yapan ve en kritik güvenlik açıklarını raporlayan Açık Web Uygulamaları Güvenlik Projesidir.,"OWASP (Open Web Application Security Project), web uygulamalarının güvenliğini artırmayı amaçlayan açık kaynaklı bir projedir ve güvenlik tehditlerini belirlemek, önceliklendirmek ve azaltmak için rehberlik sağlar."
Tehditler,Dijital ayak izi nedir?,İnternet ortamında gezilen siteler ve sosyal medya platformlarında yapılan paylaşımlarla siber dünyada bırakılan izlerdir.,"Dijital ayak izi, bir bireyin çevrimiçi etkinlikleri sonucunda geride bıraktığı izler ve verilerin toplamıdır. Bu izler, ziyaret edilen web siteleri, sosyal medya etkileşimleri ve çevrimiçi alışveriş gibi faaliyetlerden oluşur."
Tehditler,Tehdit ve şantaj maksatlı kullanım nasıl gerçekleşir?,Elde edilen kişisel verilerin ifşa edilmesi tehdidiyle veya gerçek dışı haberlerin siber ortamda hızla yayılmasıyla yapılır.,"Tehdit ve şantaj maksatlı kullanım, genellikle bir kişinin veya kuruluşun hassas verilerini ele geçirip, bu verilerin ifşa edilmesi veya zarar verilmesi tehdidiyle fidye veya başka bir talepte bulunulması şeklinde gerçekleşir. Bu tür saldırılar, sosyal mühendislik, kötü amaçlı yazılımlar veya veri ihlalleri yoluyla hedefin gizli bilgilerine erişim sağlanarak yürütülür."
E-posta Güvenliği,Kaynağı bilinmeyen e-postalarla ilgili temel güvenlik kuralı nedir?,E-posta açılmadan önce dikkatli olunmalı ve içerisindeki bağlantılara veya eklere kesinlikle tıklanmamalıdır.,"Kaynağı bilinmeyen e-postaları açmamak, eklerini indirmemek ve içlerindeki bağlantılara tıklamamak temel güvenlik kuralıdır. Bu tür e-postalar genellikle kimlik avı veya zararlı yazılım içerme riski taşır."
Web Güvenliği,API (Uygulama Programlama Arayüzü) nedir?,Bir uygulamaya ait yeteneklerin başka bir uygulamada kullanılabilmesi için sağlanan arayüzdür; tarayıcı eklentileri genellikle bu yapı üzerine kurulur.,"API, farklı yazılım uygulamalarının birbiriyle iletişim kurmasını sağlayan bir dizi protokol, rutin ve araçtır. Geliştiricilere belirli işlevleri kullanma imkanı sunarak yazılım geliştirme sürecini kolaylaştırır."
Web Güvenliği,Çerez politikalarının iptali nereden yapılır?,Tarayıcının 'gizlilik ve güvenlik' ayarları bölümünden çerez ayarları düzenlenerek iptal edilebilir.,"Çerez politikalarının iptali, genellikle web tarayıcınızın ayarlarından yapılır; tarayıcı ayarlarına gidip ""Gizlilik ve Güvenlik"" bölümünden çerezleri yönetebilir veya silebilirsiniz. Ayrıca, bazı web siteleri kendi çerez ayarlarını güncellemenize izin veren bir seçenek sunar, bu durumda site içindeki çerez ayarları bölümünden değişiklik yapabilirsiniz."
Parola Yönetimi,Google Şifre Yöneticisi ne işe yarar?,"Google hesabına kaydedilen şifreleri görmeyi, değiştirmeyi veya kaldırmayı sağlar; ayrıca şifre güvenliğini kontrol eder.","Google Şifre Yöneticisi, kullanıcıların web siteleri ve uygulamalar için güçlü ve benzersiz şifreler oluşturmasına, saklamasına ve otomatik olarak doldurmasına olanak tanır. Ayrıca, kayıtlı şifrelerin güvenliğini artırmak için şifre ihlallerini kontrol eder ve kullanıcıları uyarır."
